MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,000500;0,600000;50;TRUE;190;1,000000;190,000000;5608,000000
0,000500;0,600000;50;TRUE;230;1,000000;230,000000;7430,000000
0,000500;0,600000;50;TRUE;280;1,000000;280,000000;7587,800000
0,000500;0,600000;50;TRUE;260;1,000000;260,000000;7715,400000
0,000500;0,600000;50;TRUE;270;1,000000;270,000000;6967,800000
0,000500;0,600000;50;TRUE;200;1,000000;200,000000;6386,400000
0,000500;0,600000;50;TRUE;290;1,000000;290,000000;7062,200000
0,000500;0,600000;50;TRUE;180;1,000000;180,000000;6377,800000
0,000500;0,600000;50;TRUE;300;1,000000;300,000000;7935,200000
0,000500;0,600000;50;TRUE;310;1,000000;310,000000;7791,800000
0,000500;0,600000;50;TRUE;220;1,000000;220,000000;6239,200000
0,000500;0,600000;50;TRUE;320;1,000000;320,000000;7995,200000
0,000500;0,600000;50;TRUE;360;1,000000;360,000000;8943,000000
0,000500;0,600000;50;TRUE;210;1,000000;210,000000;6992,200000
0,000500;0,600000;50;TRUE;350;1,000000;350,000000;8769,200000
0,000500;0,600000;50;TRUE;410;1,000000;410,000000;8996,400000
0,000500;0,600000;50;TRUE;240;1,000000;240,000000;7467,600000
0,000500;0,600000;50;TRUE;420;1,000000;420,000000;9330,400000
0,000500;0,600000;50;TRUE;370;1,000000;370,000000;8888,400000
0,000500;0,600000;50;TRUE;250;1,000000;250,000000;8343,600000
0,000500;0,600000;50;TRUE;390;1,000000;390,000000;9286,800000
0,000500;0,600000;50;TRUE;460;1,000000;460,000000;8887,800000
0,000500;0,600000;50;TRUE;330;1,000000;330,000000;8145,000000
0,000500;0,600000;50;TRUE;340;1,000000;340,000000;7673,200000
0,000500;0,600000;50;TRUE;430;1,000000;430,000000;9988,600000
0,000500;0,600000;50;TRUE;440;1,000000;440,000000;9912,600000
0,000500;0,600000;50;TRUE;450;1,000000;450,000000;9715,400000
0,000500;0,600000;50;TRUE;380;1,000000;380,000000;9884,400000
0,000500;0,600000;50;TRUE;400;1,000000;400,000000;9119,200000
0,000500;0,600000;50;TRUE;500;1,000000;500,000000;9567,800000
0,000500;0,600000;50;TRUE;480;1,000000;480,000000;10399,600000
0,000500;0,600000;50;TRUE;470;1,000000;470,000000;10517,400000
0,000500;0,600000;50;TRUE;490;1,000000;490,000000;10695,200000
